Law Id,State,Title,Text,Enacted Date,Amended Date,Recent?,Sequence Number,Type,Agency,Significant Update Date,Expired Date,Archived Date,Repealed Date,Topic,Technology Categories,Incentive Categories,Regulation Categories,User Categories,References,Status,Status Date
4359,HI,Alternative Fuel Sales Tax Exemption,"The following was repealed by House Bill ( http://capitol.hawaii.gov/session2004/Bills/HB1665_.htm ) 1665,
2004: Fuel blends that contain at least 10% alcohol fuel blended
with petroleum fuel, and 100% alcohol fuel, are exempt from the
4% state excise tax on retail sales. (Reference Hawaii Revised
Statutes ( http://www.capitol.hawaii.gov/ ) Section 237-27.1)",,,false,55,Laws and Regulations,"",,,,2004-01-01 00:00:00 UTC,"",ETH,EXEM,FUEL,STATION|PURCH,"",repealed,2004-01-01
4362,ID,Biofuels Tax Deduction,"The following was repealed by House Bill 338, 2009: Licensed motor fuel
distributors may be eligible for a tax deduction based on the renewable
content of the fuel. For pure biodiesel (B100), distributors may deduct
the number of gallons sold to any person other than a licensed
distributor during the tax reporting period. For a biodiesel blend,
distributors may deduct the number of gallons of biodiesel contained in
the blend that was imported, blended, or received from a licensed
distributor who is a biodiesel producer during the tax reporting period;
in the case of a licensed distributor who is also a producer, the
deduction is only available when the producer sells biodiesel blends to
a person who is not a motor fuel distributor licensed in Idaho. For
ethanol blended fuel, distributors may deduct the number of gallons of
denatured anhydrous ethanol contained in the fuel. The deduction may not
exceed 10% of the volume of blended ethanol or biodiesel reported.
(Reference [Idaho Statutes](https://legislature.idaho.gov/) 63-2407)
",2007-03-01 00:00:00 UTC,2008-03-02 00:00:00 UTC,false,20,State Incentives,"",,,,2009-05-12 00:00:00 UTC,"",BIOD|ETH,TAX,"",STATION,http://www.legislature.idaho.gov/,repealed,2009-05-12
4368,IL,Alternative Fuel Vehicle (AFV) and Alternative Fuel Rebates,"The Illinois Alternate Fuels Rebate Program provides a rebate for 80%,
up to \$4,000, of the incremental cost of purchasing an AFV; 80%, up to
\$4,000, of the cost of converting a conventional vehicle to an AFV
using a federally certified conversion; and the incremental cost of
purchasing alternative fuels. Eligible fuels for the program include
E85, fuel blends containing at least 20% biodiesel (B20), natural gas,
propane, electricity, and hydrogen. A vehicle may receive one rebate in
its lifetime. Only AFVs purchased from an Illinois-based company or
vendor may qualify, except if the vehicle is a heavy-duty specialty
vehicle that is not sold in Illinois. To qualify for a fuel rebate, the
entity or individual must purchase the majority of E85 or biodiesel fuel
from Illinois retail stations or fuel suppliers. The E85 fuel rebate is
up to \$450 per year (depending on vehicle miles traveled) for up to
three years for each flexible fuel vehicle that uses E85 at least half
the time. The biodiesel fuel rebate (for B20 and higher blends) is for
80% of the incremental cost of the biodiesel fuel, as compared to
conventional diesel. Rebates are part of the Illinois Green Fleets
Program and are available to all qualified Illinois residents,
businesses, government units (except federal government), and
organizations located in Illinois. This program is suspended
indefinitely (verified August 2016). For more information, including a
list of eligible vehicles, see the Illinois Alternate Fuels Rebate
Program. (Reference 415 [Illinois Compiled
Statutes](http://www.ilga.gov/legislation/ilcs/ilcs.asp) 120/30)
",2005-06-20 00:00:00 UTC,2015-03-16 00:00:00 UTC,false,10,State Incentives,"",2015-07-10 17:38:39 UTC,,2017-10-01 00:00:00 UTC,,"",AFTMKTCONV|BIOD|ETH|ELEC|HY|NG|PHEV|LPG,RBATE,"",PURCH|FLEET|IND,"",archived,2017-10-01
4386,IL,Corn-to-Ethanol Research Pilot Plant,"The Illinois Ethanol Research Advisory Board manages and operates
the National Corn-to-Ethanol Research Center (NCERC) Pilot Plant.
The NCERC Pilot Plant aims to reduce the cost of producing
ethanol through the development and commercialization of new
production technologies, equipment, processes, feedstocks, and
new value added co- and by-products. The Illinois Ethanol
Research Advisory Board has six main responsibilities:

* Review the annual operating plans and budget of the NCERC Pilot
Plant;
* Advise on research and development priorities and projects to
be carried out at the NCERC Pilot Plant;
* Advise on policies and procedures regarding the management and
operation of the NCERC Pilot Plant (including contracts, project
selection, and personnel issues);
* Develop by-laws;
* Submit a final report to the governor and general assembly
outlining progress, accomplishments, and a financial report for
the year; and
* Establish and operate the NCERC at Southern Illinois University
at Edwardsville as a State Biorefining Center of Excellence with
a focus on areas including the following: performing
collaborative research; offering training and educational
services; advancing the state biofuels industry; pursuing funding
sources; and serving as an independent source for testing and
validation.

For more information, see the NCERC ( http://www.ethanolresearch.com/ ) website.

(Reference 110 Illinois Compiled Statutes ( http://www.ilga.gov/legislation/ilcs/ilcs.asp ) 520/6.5 to
520/6.6)",2002-07-25 00:00:00 UTC,2007-08-13 00:00:00 UTC,false,165,Laws and Regulations,"",,,2014-09-01 00:00:00 UTC,,"",ETH,"",OTHER,AFP|OTHER,"",archived,2014-09-01
4419,IA,Alternative Fuels Tax,"Ethanol-blended gasoline including E85 is taxed at \$0.19 per gallon,
while conventional gasoline is taxed at \$0.207 per gallon. The
non-ethanol blended gasoline tax rate may be adjusted annually,
depending on the amount of ethanol-blended fuel sold in the preceding
calendar year. Those who blend conventional motor fuel with ethanol may
file for a refund for the difference between excise taxes paid on the
motor fuel purchased to produce ethanol-blended gasoline and the excise
tax due on the ethanol-blended gasoline. Compressed natural gas used as
a motor fuel is taxed at \$0.16 per 100 cubic feet. (Reference [Iowa
Code](https://www.legis.iowa.gov/) 452A.3, 452A.21 and 11-103.16(8A))
",,,false,80,Laws and Regulations,"",,2007-06-30 00:00:00 UTC,,,"",ETH|NG,"",FUEL,STATION|PURCH,"",expired,2007-06-30
4425,KS,Ethanol Production Incentive,"Qualified ethanol producers are eligible for a production incentive
payable from the Kansas Qualified Agricultural Ethyl Alcohol Producer
Fund. An ethanol producer may collect \$0.035 for each gallon sold to an
alcohol blender that is in excess of the producer's base sales, up to 15
million gallons, provided the producer was in production before July 1,
2001, and increases production capacity by five million gallons over the
producer's base sales. The same credit applies to a producer who began
production on or after July 1, 2001, and before July 1, 2012, and who
has sold at least five million gallons to an alcohol blender. A producer
who begins production of cellulosic ethanol on or after July 1, 2012,
and who sells at least five million gallons to a blender may receive
\$0.035 for each gallon sold, up to 15 million gallons. Producers must
file for the incentive on a quarterly basis through the Kansas
Department of Revenue. A producer may not collect the incentive for more
than seven years. The incentive expires July 1, 2018. (Reference [Kansas
Statutes](http://www.kslegislature.org/li/b2015_16/statute/) 79-34,160
through 79-34,164)
",,2011-04-08 00:00:00 UTC,false,35,State Incentives,"",,2018-07-01 00:00:00 UTC,,,"",ETH,RBATE,"",AFP,http://www.kslegislature.org/li/statute/,expired,2018-07-01
4446,LA,Alternative Fuel Vehicle (AFV) and Fueling Infrastructure Tax Credit,"The following was repealed by Act ( http://www.legis.state.la.us/ ) No. 469, Section 2, 2009: The state offers an income tax credit
worth 20% of the cost of converting a vehicle to operate on an
alternative fuel, 20% of the incremental cost of purchasing an
Original Equipment Manufacturer (OEM) AFV or hybrid electric
vehicle (HEV), and 20% of the cost of constructing an alternative
fueling station. Only vehicles registered in Louisiana can
receive the tax credit. For the purpose of this incentive,
alternative fuels include compressed natural gas, liquefied
natural gas, liquefied petroleum gas, methanol, ethanol,
electricity, and any other fuels which meet or exceed federal
clean air standards. (Reference Louisiana Revised Statutes ( http://www.legis.state.la.us/ ) 47:38 and 47:287.757)",,,false,10,State Hybrid Incentives,"",,,,2009-07-09 00:00:00 UTC,"",ETH|ELEC|HEV|HY|NG|PHEV|LPG,TAX,"",STATION|FLEET|IND,http://www.legis.state.la.us/,repealed,2009-07-09
4451,LA,Alternative Fuel Vehicle (AFV) Acquisition Requirements,"The following was repealed: At least 80% of all vehicles purchased or
leased by state agencies and local governments must be capable of being
fueled by alternative fuels, or any fuel that meets or exceeds federal
Clean Air Act standards. Exemptions may apply to a state agency or a
local government that provides evidence that a central refueling station
for alternative fuels is not available, or that projected net costs will
exceed those associated with continued use of traditional gasoline or
diesel fuels over the expected useful life of the equipment or refueling
facilities. (Reference Louisiana Revised Statutes 33:1418 and 39:364)
",,,false,20,Laws and Regulations,"",,,,2003-07-01 00:00:00 UTC,"",BIOD|ETH|ELEC|HY|NG|PHEV|LPG,"",REQ,FLEET,"",repealed,2003-07-01
4490,MA,State Agency Alternative Fuel Vehicle (AFV) Acquisition Requirement,"State fleets must acquire AFVs according to the requirements of the
Energy Policy Act (EPAct) of 1992 and the Massachusetts Office of
Vehicle Management (OVM) must approve any light-duty vehicle
acquisition. All agencies must purchase the most economical,
fuel-efficient, and low emission vehicles appropriate to their mission.
OVM, in collaboration with the Massachusetts Department of Energy
Resources, will set new minimum standards for vehicle mileage and work
with agencies to acquire vehicles that provide the best value for the
Commonwealth on a total cost of ownership basis. (Reference [Executive
Order](http://www.lawlib.state.ma.us/source/mass/eo/index.html) 388,
1996, and Massachusetts Executive Office of Administration and Finance
Administrative Bulletin 10, 2010)
",1996-06-26 00:00:00 UTC,,false,55,Laws and Regulations,"",,,2012-12-31 00:00:00 UTC,,"",BIOD|ETH|ELEC|HY|NG|PHEV|LPG,"",REQ,FLEET,http://www.lawlib.state.ma.us/source/mass/eo/index.html|http://www.mass.gov/anf/budget-taxes-and-procurement/admin-bulletins/use-of-state-vehicles-by-executive-agencies.html,archived,2012-12-31
4511,MN,Ethanol Production Incentive,"Through June 30, 2010, an ethanol production incentive of \$0.20 per
gallon of ethanol produced may be earned by qualified facilities that
began production before June 30, 2000. Annual payments are limited to
\$3 million to any one producer. (Reference [Minnesota
Statutes](https://www.leg.state.mn.us/) 41A.09)
",,,false,25,State Incentives,"",,2010-06-30 00:00:00 UTC,,,"",ETH,TAX,"",AFP,"",expired,2010-06-30
4547,MT,Alternative Fuel Vehicle (AFV) Conversion Tax Credit,"Businesses and individuals are eligible for an income tax credit of up
to 50% of the equipment and labor costs for converting vehicles to
operate using alternative fuels. Qualified alternative fuels include
natural gas, propane, hydrogen, electricity, and fuels containing at
least 85% ethanol, methanol, ether, or another alcohol. The maximum
credit is \$500 for the conversion of vehicles with a gross vehicle
weight rating (GVWR) of 10,000 pounds (lbs.) or less and \$1,000 for
vehicles with a GVWR of more than 10,000 lbs. The credit is only
available for the year the business or individual converts the vehicle.
An alternative fuel seller may not receive a credit for converting its
own vehicles to operate on the alternative fuel it sells. (Reference
[Montana Code Annotated](https://leg.mt.gov/bills/mca/index.html)
15-30-2320)
",,,false,7,State Incentives,"",,,,2022-01-01 00:00:00 UTC,"",AFTMKTCONV|BIOD|ETH|ELEC|HY|NG|PHEV|LPG,TAX,"",MAN|FLEET|IND,https://leg.mt.gov/bills/mca/index.html,repealed,2022-01-01
4551,MT,Alternative Fuel Promotion,"The state of Montana encourages the use of alternative fuels and fuel
blends to the extent that doing so produces environmental and economic
benefits to the citizens of Montana. The Montana Legislature recommends
several guidelines for the development of a state alternative fuels
policy, including the following: 1) encourage the use of self-sufficient
markets; 2) any state alternative fuels program should have measurable
benefits and state agencies must communicate these benefits to the
public; 3) state and local governments are encouraged to set an example
with their vehicle fleets by using alternative fuels and fuel blends.
The state also encourages alternative fuel and fuel blend production.
(Reference [Montana Code Annotated](http://leg.mt.gov) 90-4-1011)
",,,false,65,Laws and Regulations,"",,,2012-07-01 00:00:00 UTC,,"",BIOD|ETH|ELEC|HY|NG|PHEV|LPG,"",OTHER,OTHER,http://data.opi.mt.gov/bills/mca_toc/index.htm,archived,2012-07-01
4600,NM,Alternative Fuel Vehicle (AFV) and Fueling Infrastructure Grants,"The New Mexico Energy, Minerals, and Natural Resources Department
administers the Clean Energy Grants Program, which provides grants for
projects using clean energy technologies, including AFVs and fueling
infrastructure, as well as projects that provide clean energy education,
technical assistance, and training programs. These grants are provided
on a competitive basis to qualifying entities such as municipalities and
county governments, state agencies, state universities, public schools,
post-secondary educational institutions, and Indian nations, tribes, and
pueblos. (Reference New Mexico Statutes 71-7-1)
",,,false,25,State Incentives,"",2015-04-13 15:43:55 UTC,,2017-03-01 00:00:00 UTC,,"",AFTMKTCONV|BIOD|ETH|ELEC|HY|NG|PHEV|LPG,GNT,"",STATION|FLEET|OTHER,http://www.nmonesource.com/nmnxtadmin/NMPublic.aspx,archived,2017-03-01
4629,NY,Alternative Fuel Vehicle (AFV) Tax Exemption,"New York provides a partial sales and use tax exemption for the
incremental cost of new AFVs and for vehicles that are converted
to run on alternative fuels. This exemption is effective through
October 1, 2006. (Reference New York Tax Law ( http://public.leginfo.state.ny.us/menugetf.cgi ) Article 28,
Section 1115)",,,false,70,Laws and Regulations,"",,2006-09-01 00:00:00 UTC,,,"",ETH|ELEC|HY|NG|PHEV|LPG,EXEM|TAX,FUEL,FLEET|IND,"",expired,2006-09-01
4667,OK,Alternative Fuel Vehicle (AFV) Tax Credit,"Prior to January 1, 2009, Oklahoma provides a one-time income tax
credit for 50% of the cost of converting a vehicle to operate on
an alternative fuel, or for 50% of the incremental cost of a new
OEM AFV. The state also provides a tax credit for 10% of the
total vehicle cost, up to $1,500, when an AFV is resold, as long
as a tax credit has not been previously taken on the vehicle.
Additionally, the state provides a tax credit for up to 50% of
the cost of installing refueling infrastructure for AFVs. These
tax credits may be carried forward for up to three years. The
alternative fuels eligible for the credit include compressed
natural gas (CNG), liquefied natural gas (LNG), liquefied
petroleum gas (LPG), ethanol, methanol, and electricity. This tax
credit extends to low-speed electric vehicles as defined by NHTSA
in 49 C.F.R. 571.500 and to forklifts and other similar
self-propelled vehicles. (Reference Oklahoma Statutes ( http://www.lsb.state.ok.us/ ) Section 68-2357.22)",,,false,15,State Incentives,"",,2009-01-01 00:00:00 UTC,,,"",ETH|ELEC|NG|PHEV|LPG,TAX,"",STATION|FLEET|IND,"",expired,2009-01-01
4668,OK,Alternative Fuel Vehicle (AFV) Low-Interest Loans ,"Oklahoma has a private loan program with a 3% interest rate for the cost
of converting private fleets to operate on alternative fuels and for the
incremental cost of purchasing an original equipment manufacturer AFV.
The loan repayment has a maximum six-year period. For more information,
see the Oklahoma Department of Commerce
[website](http://okcommerce.gov/).
",,,false,50,State Incentives,"",,,2017-07-01 00:00:00 UTC,,"",BIOD|ETH|ELEC|HY|NG|PHEV|LPG,LOANS,"",STATION|FLEET,"",archived,2017-07-01
4683,OR,Alternative Fuel Vehicle (AFV) and Fueling Infrastructure Tax Credit for Businesses,"Business owners and others may be eligible for a tax credit of 50% of
eligible costs for qualified alternative fuel infrastructure projects
through the [Business Energy Tax
Credit](https://www.oregon.gov/energy/Incentives/Pages/Transportation-Tax-Credits.aspx).
Fueling infrastructure for fuels such as propane and natural gas may
qualify for a tax credit of 35% of eligible costs. A tax credit of 35%
of eligible costs is also available for other qualified AFV projects.
The credit is filed over five years. Unused credits from a given year
can be carried forward up to eight years. For projects with eligible
costs of \$20,000 or less, the tax credit may be taken in one year.

An eligible applicant (a project owner) must meet the following
requirements:

-   Be a trade, business, or rental property owner with a business site
    in Oregon or be an Oregon non-profit organization, tribe, or public
    entity that partners with an Oregon business or resident;
-   Own or be the contract buyer of the project; and
-   Use the equipment or lease it to another person or business in
    Oregon.

Non-profit organizations and public entities that do not have an Oregon
tax liability may receive the credit for an eligible project but must
\""pass-through\"" or transfer their project eligibility to a pass-through
partner in exchange for a lump-sum cash payment. The Oregon Department
of Energy (ODOE) determines the rate that is used to calculate the cash
payment. The pass-through option is also available to a project owner
with an Oregon tax liability who chooses to transfer their tax credit.
ODOE must grant preliminary and final certification for a project to be
eligible. The taxpayer must have filed an application for the project
before April 15, 2011, and ODOE must have granted preliminary
certification for the project by July 1, 2011. Projects that began prior
to April 15, 2011, must receive final certification by July 1, 2014.
Projects that began after April 15, 2011, must receive final
certification by July 1, 2013.

(Reference House Bills 3672 and 3606, 2011, and Oregon Revised Statutes
469.185-469.225 and 469.878)
",2007-07-31 00:00:00 UTC,2011-08-05 00:00:00 UTC,false,25,State Incentives,"",,2011-04-15 00:00:00 UTC,,,"",AFTMKTCONV|BIOD|ETH|ELEC|HY|NG|PHEV|LPG,TAX,"",STATION|FLEET,http://www.leg.state.or.us/|http://www.leg.state.or.us/ors/home.htm,expired,2011-04-15
4703,PA,Alternative Fuel Vehicle (AFV) Rebates,"The Greater Philadelphia Clean Cities Program (GPCCP) has
Congestion Mitigation Air Quality (CMAQ) funding available for
AFV rebates. The Clean Fueled Fleets Grant is designed to offer
up to 72% of the incremental cost of purchasing AFVs. Up to
$4,000 is available for light duty AFVs, up to $7,000 is
available for medium duty AFVs, and up to $10,000 is available
for heavy duty AFVs. Additionally, some of GPCCP's rebates also
cover the costs of installing and purchasing AFV refueling
stations. To qualify for these rebates, applicants must become
members of the GPCCP and complete and sign an application,
agreeing to certain terms and conditions, such as monitoring fuel
use.",,,false,20,State Incentives,"",,2005-11-01 00:00:00 UTC,,,"",BIOD|ETH|ELEC|HY|NG|PHEV|LPG,RBATE,"",STATION|FLEET|IND,"",expired,2005-11-01
4714,RI,Alternative Fuel Vehicle (AFV) and Fueling Infrastructure Tax Credit,"The Alternative Fueled Vehicle and Filling Station Tax Credit
entitles taxpayers to a tax credit equal to 50% of the capital,
labor, and equipment costs associated with the construction of,
or improvement to, any alternative fuel fueling or recharging
station providing domestically produced alternative fuel or
facilities for recharging electric vehicles. For the purpose of
this tax credit, alternative fuels are defined according to the
Energy Policy Act of 1992 (Public Law 102-486) and include
ethanol fuel and biodiesel produced from feedstocks including
virgin vegetable oil, yellow grease, waste vegetable oil, and
animal fats and tallows. Taxpayers are also entitled to a tax
credit equal to 50% of the incremental cost of purchasing an AFV
or the capital, labor, and equipment cost of converting a motor
vehicle to operate on an alternative fuel. Taxpayers may carry
forward any unused credits or any unused portion of the credit
for up to five years. This incentive is effective until January
1, 2008. (Reference Rhode Island Code ( http://www.rilin.state.ri.us/Statutes/Statutes.html ) 44-39.2-2)",,,false,20,State Incentives,"",,2008-01-01 00:00:00 UTC,,,"",BIOD|ETH|ELEC|HY|NG|PHEV|LPG,TAX,"",STATION|FLEET,"",expired,2008-01-01
4715,RI,Alternative Fuel Vehicle (AFV) Loans,"The Rhode Island Office of Energy Resources offers loans for up
to five years, with low administrative fees, to state agencies
and municipal governments to cover the incremental cost of
purchasing original equipment manufactured AFVs.",,,false,10,State Incentives,"",,2009-04-10 00:00:00 UTC,,,"",BIOD|ETH|ELEC|HY|NG|PHEV|LPG,LOANS,"",FLEET,"",expired,2009-04-10
