"","X","state","year","e85","total_stations","enacted","incentives","tax_incentives","grant_incentives","other_incentives","regulations","eth.production","corn.production","corn.prices","state_abb","missing_eth","missing_corn_prod","missing_corn_prices"
"35",35,"Arizona",2009,26,143,0,1,0,1,0,0,1308,3500000,4.14,"AZ",0,0,0
"36",40,"Arizona",2010,32,157,1,1,0,1,0,1,1176,4620000,5.8,"AZ",0,0,0
"37",33,"Arizona",2011,20,91,0,1,0,1,0,1,1144,6230000,6.78,"AZ",0,0,0
"38",39,"Arizona",2012,33,122,1,1,0,1,0,2,807,6240000,7.84,"AZ",0,0,0
"39",48,"Arizona",2013,30,120,0,1,0,1,0,2,0,9027000,5.89,"AZ",0,0,0
"40",42,"Arizona",2014,30,999,0,1,0,1,0,2,1057,5880000,5.36,"AZ",0,0,0
"41",37,"Arizona",2015,30,1059,0,0,0,0,0,2,1154,7560000,4.98,"AZ",0,0,0
"42",45,"Arizona",2016,25,1254,0,0,0,0,0,2,1078,10750000,4.73,"AZ",0,0,0
"43",43,"Arizona",2017,21,1290,0,0,0,0,0,1,1155,6240000,4.55,"AZ",0,0,0
"44",41,"Arizona",2018,22,1447,0,0,0,0,0,1,1184,4400000,4.96,"AZ",0,0,0
"45",46,"Arizona",2019,22,1690,0,0,0,0,0,1,531,8547000,5.4,"AZ",0,0,0
"46",38,"Arizona",2020,20,1989,0,0,0,0,0,1,0,5858000,5.4,"AZ",0,0,0
"47",36,"Arizona",2021,19,2457,0,0,0,0,0,1,0,3258000,7.65,"AZ",0,0,0
"48",47,"Arizona",2022,17,2829,0,0,0,0,0,0,177,5887666.66666667,4.66898969072165,"AZ",1,1,1
"49",54,"Arkansas",2007,4,51,0,1,0,0,1,0,0,99710000,3.8,"AR",0,0,0
"50",58,"Arkansas",2008,7,49,0,0,0,0,0,0,0,72463333.3333333,4.66898969072165,"AR",1,1,1
"51",52,"Arkansas",2009,10,63,1,1,0,0,1,0,0,60680000,3.79,"AR",0,0,0
"52",57,"Arkansas",2010,13,75,0,1,0,0,1,0,0,5.7e+07,4.55,"AR",0,0,0
"53",56,"Arkansas",2011,33,189,0,1,0,0,1,0,0,73320000,6.27,"AR",0,0,0
"54",49,"Arkansas",2012,32,682,1,1,0,0,1,1,0,123710000,6.81,"AR",0,0,0
"55",64,"Arkansas",2013,31,921,0,1,0,0,1,1,0,161820000,5.12,"AR",0,0,0
"56",50,"Arkansas",2014,43,155,0,1,0,0,1,1,0,99110000,4.13,"AR",0,0,0
"57",61,"Arkansas",2015,47,182,0,1,0,0,1,1,0,80545000,4.11,"AR",0,0,0
"58",51,"Arkansas",2016,44,203,0,0,0,0,0,1,0,127395000,3.69,"AR",0,0,0
"59",63,"Arkansas",2017,43,217,0,0,0,0,0,0,0,102350000,4.66898969072165,"AR",1,1,1
"60",60,"Arkansas",2018,43,224,0,0,0,0,0,0,0,103430000,4.66898969072165,"AR",1,1,1
"61",62,"Arkansas",2019,47,394,0,0,0,0,0,0,0,111058333.333333,4.66898969072165,"AR",1,1,1
"62",53,"Arkansas",2020,50,455,0,0,0,0,0,0,0,105612777.777778,4.66898969072165,"AR",1,1,1
"63",55,"Arkansas",2021,70,590,0,0,0,0,0,0,0,106700370.37037,4.66898969072165,"AR",1,1,1
"64",59,"Arkansas",2022,74,735,0,0,0,0,0,0,0,107790493.82716,4.66898969072165,"AR",1,1,1
"65",70,"California",2007,6,856,0,1,0,0,1,1,2128,34580000,4.28,"CA",0,0,0
"66",73,"California",2008,13,862,0,1,0,0,1,1,2270,33150000,4.77,"CA",0,0,0
"67",67,"California",2009,45,937,0,1,0,0,1,1,1178,28800000,4.28,"CA",0,0,0
"68",68,"California",2010,54,1011,0,0,0,0,0,1,1443,34560000,5.08,"CA",0,0,0
"69",72,"California",2011,58,2006,0,0,0,0,0,0,1630.33333333333,32170000,4.66898969072165,"CA",1,1,1
"70",76,"California",2012,71,4261,0,0,0,0,0,0,2529.11111111111,27468333.3333333,4.66898969072165,"CA",1,1,1
"71",66,"California",2013,88,5903,0,0,0,0,0,0,2891.14814814815,25104444.4444444,4.66898969072165,"CA",1,1,1
"72",80,"California",2014,94,7758,1,0,0,0,0,1,4514,15675000,4.81,"CA",0,0,0
"73",69,"California",2015,107,11242,1,1,0,0,1,1,4650,9420000,4.39,"CA",0,0,0
"74",77,"California",2016,119,14969,1,1,0,0,1,2,4717,18500000,4.69,"CA",0,0,0
"75",78,"California",2017,147,17426,0,1,0,0,1,2,5051,13360000,4.2,"CA",0,0,0
"76",71,"California",2018,161,22010,0,1,0,0,1,2,5170,11245000,4.4,"CA",0,0,0
"77",74,"California",2019,195,28038,0,0,0,0,0,1,4632,10080000,4.6,"CA",0,0,0
"78",79,"California",2020,198,35527,0,0,0,0,0,1,2710,11220000,4.75,"CA",0,0,0
"79",75,"California",2021,264,42193,0,0,0,0,0,1,2293,9400000,7.3,"CA",0,0,0
"80",65,"California",2022,326,44987,0,0,0,0,0,1,3211.66666666667,10233333.3333333,4.66898969072165,"CA",1,1,1
"81",86,"Colorado",2007,45,157,3,2,1,1,0,1,2196,148400000,3.96,"CO",0,0,0
"82",81,"Colorado",2008,65,144,1,2,1,1,0,2,2932,138370000,4.14,"CO",0,0,0
"83",91,"Colorado",2009,80,168,0,2,1,1,0,2,2974,151470000,3.68,"CO",0,0,0
"84",82,"Colorado",2010,86,179,0,2,1,1,0,2,3362,182710000,4.98,"CO",0,0,0
"85",85,"Colorado",2011,83,213,0,2,1,1,0,1,3424,172900000,6.15,"CO",0,0,0
"86",88,"Colorado",2012,84,407,0,1,0,1,0,1,3409,134330000,6.86,"CO",0,0,0
"87",96,"Colorado",2013,85,449,0,1,0,1,0,0,3447,128380000,4.61,"CO",0,0,0
"88",89,"Colorado",2014,86,647,1,2,0,2,0,0,3324,147460000,3.95,"CO",0,0,0
"89",93,"Colorado",2015,89,921,0,2,0,2,0,0,3479,134900000,3.69,"CO",0,0,0
"90",87,"Colorado",2016,88,1201,2,1,0,1,0,2,3413,160290000,3.42,"CO",0,0,0
"91",94,"Colorado",2017,91,1590,0,1,0,1,0,2,3477,185900000,3.37,"CO",0,0,0
"92",83,"Colorado",2018,81,1986,0,1,0,1,0,2,3457,154700000,3.7,"CO",0,0,0
"93",92,"Colorado",2019,84,2697,0,0,0,0,0,2,3287,159900000,3.68,"CO",0,0,0
"94",95,"Colorado",2020,88,3417,0,0,0,0,0,1,3212,122960000,4.62,"CO",0,0,0
"95",90,"Colorado",2021,96,4163,0,0,0,0,0,0,3318.66666666667,145853333.333333,4.66898969072165,"CO",1,1,1
"96",84,"Colorado",2022,95,4589,0,0,0,0,0,0,3272.55555555556,142904444.444444,4.66898969072165,"CO",1,1,1
"97",104,"Connecticut",2007,2,32,0,0,0,0,0,0,0,0,4.66898969072165,"CT",1,1,1
"98",106,"Connecticut",2008,4,31,0,0,0,0,0,0,0,0,4.66898969072165,"CT",1,1,1
"99",105,"Connecticut",2009,4,31,0,0,0,0,0,0,0,0,4.66898969072165,"CT",1,1,1
"100",110,"Connecticut",2010,1,37,1,1,0,1,0,0,0,0,4.66898969072165,"CT",0,1,1
"101",103,"Connecticut",2011,0,75,0,1,0,1,0,0,0,0,4.66898969072165,"CT",0,1,1
"102",100,"Connecticut",2012,1,187,0,1,0,1,0,0,0,0,4.66898969072165,"CT",0,1,1
"103",99,"Connecticut",2013,1,254,0,1,0,1,0,0,0,0,4.66898969072165,"CT",0,1,1
"104",102,"Connecticut",2014,3,399,0,1,0,1,0,0,0,0,4.66898969072165,"CT",0,1,1
"105",109,"Connecticut",2015,4,542,0,1,0,1,0,0,0,0,4.66898969072165,"CT",0,1,1
"106",112,"Connecticut",2016,4,774,0,1,0,1,0,0,0,0,4.66898969072165,"CT",0,1,1
"107",107,"Connecticut",2017,4,838,0,1,0,1,0,0,0,0,4.66898969072165,"CT",0,1,1
"108",111,"Connecticut",2018,4,889,0,1,0,1,0,0,0,0,4.66898969072165,"CT",0,1,1
"109",108,"Connecticut",2019,3,1093,0,1,0,1,0,0,0,0,4.66898969072165,"CT",0,1,1
"110",98,"Connecticut",2020,3,1283,0,1,0,1,0,0,0,0,4.66898969072165,"CT",0,1,1
"111",97,"Connecticut",2021,3,1472,0,1,0,1,0,0,0,0,4.66898969072165,"CT",0,1,1
"112",101,"Connecticut",2022,3,1673,0,0,0,0,0,0,0,0,4.66898969072165,"CT",1,1,1
"113",123,"Delaware",2007,1,8,0,0,0,0,0,0,0,22470666.6666667,4.66898969072165,"DE",1,1,1
"114",121,"Delaware",2008,1,7,0,0,0,0,0,0,0,21950888.8888889,4.66898969072165,"DE",1,1,1
"115",119,"Delaware",2009,1,7,0,0,0,0,0,0,0,21381185.1851852,4.66898969072165,"DE",1,1,1
"116",117,"Delaware",2010,1,8,1,0,0,0,0,1,0,19722000,6.21,"DE",0,0,0
"117",115,"Delaware",2011,1,6,0,0,0,0,0,1,0,23660000,6.93,"DE",0,0,0
"118",116,"Delaware",2012,1,20,0,0,0,0,0,1,0,24030000,7.55,"DE",0,0,0
"119",128,"Delaware",2013,1,27,0,0,0,0,0,1,0,28884000,4.94,"DE",0,0,0
"120",122,"Delaware",2014,1,37,0,0,0,0,0,1,0,33600000,3.83,"DE",0,0,0
"121",118,"Delaware",2015,1,67,0,0,0,0,0,0,0,28838000,4.66898969072165,"DE",1,1,1
"122",120,"Delaware",2016,1,80,0,0,0,0,0,0,0,30440666.6666667,4.66898969072165,"DE",1,1,1
"123",126,"Delaware",2017,1,115,0,0,0,0,0,0,0,30959555.5555556,4.66898969072165,"DE",1,1,1
"124",127,"Delaware",2018,1,145,0,0,0,0,0,0,0,30079407.4074074,4.66898969072165,"DE",1,1,1
"125",113,"Delaware",2019,1,186,0,0,0,0,0,0,0,30493209.8765432,4.66898969072165,"DE",1,1,1
"126",125,"Delaware",2020,1,220,0,0,0,0,0,0,0,30510724.2798354,4.66898969072165,"DE",1,1,1
"127",114,"Delaware",2021,1,327,0,0,0,0,0,0,0,30361113.8545953,4.66898969072165,"DE",1,1,1
"128",124,"Delaware",2022,2,391,0,0,0,0,0,0,0,30455016.003658,4.66898969072165,"DE",1,1,1
"129",139,"District of Columbia",2007,3,6,0,0,0,0,0,0,0,0,4.66898969072165,"DC",1,1,1
"130",136,"District of Columbia",2008,3,6,0,0,0,0,0,0,0,0,4.66898969072165,"DC",1,1,1
"131",129,"District of Columbia",2009,3,7,0,0,0,0,0,0,0,0,4.66898969072165,"DC",1,1,1
"132",134,"District of Columbia",2010,3,8,0,0,0,0,0,0,0,0,4.66898969072165,"DC",1,1,1
"133",138,"District of Columbia",2011,3,58,0,0,0,0,0,0,0,0,4.66898969072165,"DC",1,1,1
"134",140,"District of Columbia",2012,3,112,0,0,0,0,0,0,0,0,4.66898969072165,"DC",1,1,1
"135",141,"District of Columbia",2013,3,74,0,0,0,0,0,0,0,0,4.66898969072165,"DC",1,1,1
"136",137,"District of Columbia",2014,3,146,0,0,0,0,0,0,0,0,4.66898969072165,"DC",1,1,1
"137",143,"District of Columbia",2015,3,246,0,0,0,0,0,0,0,0,4.66898969072165,"DC",1,1,1
"138",142,"District of Columbia",2016,4,258,0,0,0,0,0,0,0,0,4.66898969072165,"DC",1,1,1
"139",135,"District of Columbia",2017,3,272,0,0,0,0,0,0,0,0,4.66898969072165,"DC",1,1,1
"140",144,"District of Columbia",2018,3,346,0,0,0,0,0,0,0,0,4.66898969072165,"DC",1,1,1
"141",131,"District of Columbia",2019,3,566,1,0,0,0,0,1,0,0,4.66898969072165,"DC",0,1,1
"142",130,"District of Columbia",2020,3,713,0,0,0,0,0,1,0,0,4.66898969072165,"DC",0,1,1
"143",133,"District of Columbia",2021,4,842,0,0,0,0,0,0,0,0,4.66898969072165,"DC",1,1,1
"144",132,"District of Columbia",2022,4,992,0,0,0,0,0,0,0,0,4.66898969072165,"DC",1,1,1
"145",157,"Florida",2007,11,94,0,1,0,0,1,0,0,3150000,4,"FL",0,0,0
"146",156,"Florida",2008,18,97,3,1,0,0,1,3,0,3850000,4.5,"FL",0,0,0
"147",151,"Florida",2009,30,125,2,1,0,0,1,5,0,3589000,4,"FL",0,0,0
"148",149,"Florida",2010,42,154,0,1,0,0,1,5,0,2725000,4.7,"FL",0,0,0
"149",153,"Florida",2011,62,520,0,0,0,0,0,5,0,3432000,6.65,"FL",0,0,0
"150",152,"Florida",2012,51,1024,1,1,1,0,0,3,0,4600000,7.5,"FL",0,0,0
"151",154,"Florida",2013,54,1165,0,1,1,0,0,3,0,10374000,4.51,"FL",0,0,0
"152",145,"Florida",2014,62,1446,0,1,1,0,0,0,0,5400000,3.65,"FL",0,0,0
"153",158,"Florida",2015,74,2006,1,2,1,1,0,0,0,7050000,3.8,"FL",0,0,0
"154",159,"Florida",2016,74,2429,0,2,1,1,0,0,0,5800000,3.93,"FL",0,0,0
"155",147,"Florida",2017,82,2802,0,1,0,1,0,0,0,5957000,4.47,"FL",0,0,0
"156",146,"Florida",2018,88,3330,0,1,0,1,0,0,0,9734000,4.47,"FL",0,0,0
"157",150,"Florida",2019,88,4858,0,1,0,1,0,0,0,8694000,4.39,"FL",0,0,0
"158",155,"Florida",2020,94,5794,0,0,0,0,0,0,0,8128333.33333333,4.66898969072165,"FL",1,1,1
"159",148,"Florida",2021,111,7039,0,0,0,0,0,0,0,8852111.11111111,4.66898969072165,"FL",1,1,1
"160",160,"Florida",2022,143,8130,0,0,0,0,0,0,0,8558148.14814815,4.66898969072165,"FL",1,1,1
"161",162,"Georgia",2007,11,96,2,2,0,1,1,1,10,57150000,4.5,"GA",0,0,0
"162",175,"Georgia",2008,28,111,0,2,0,1,1,1,596,43400000,4.5,"GA",0,0,0
"163",163,"Georgia",2009,37,122,0,2,0,1,1,1,2388,51800000,4.1,"GA",0,0,0
"164",174,"Georgia",2010,41,133,0,1,0,0,1,1,2329,35770000,5.95,"GA",0,0,0
"165",164,"Georgia",2011,51,194,1,2,0,0,2,1,1875,42930000,7.3,"GA",0,0,0
"166",167,"Georgia",2012,59,347,0,2,0,0,2,1,1423,55800000,7.9,"GA",0,0,0
"167",169,"Georgia",2013,61,539,0,1,0,0,1,1,1347,81375000,5.17,"GA",0,0,0
"168",171,"Georgia",2014,52,836,0,1,0,0,1,1,2137,52700000,4.17,"GA",0,0,0
"169",173,"Georgia",2015,58,1372,1,2,1,0,1,0,2334,48735000,3.9,"GA",0,0,0
"170",172,"Georgia",2016,56,1736,0,0,0,0,0,0,1939.33333333333,60936666.6666667,4.66898969072165,"GA",1,1,1
"171",170,"Georgia",2017,53,2120,0,0,0,0,0,0,2355.11111111111,55223888.8888889,4.66898969072165,"GA",1,1,1
"172",161,"Georgia",2018,54,2406,0,0,0,0,0,0,2362.14814814815,57386851.8518519,4.66898969072165,"GA",1,1,1
"173",176,"Georgia",2019,52,3140,1,0,0,0,0,1,2792,5.6e+07,4.53,"GA",0,0,0
"174",165,"Georgia",2020,66,3861,0,0,0,0,0,0,2503.08641975309,56203580.2469136,4.66898969072165,"GA",1,1,1
"175",168,"Georgia",2021,67,4142,0,0,0,0,0,0,2552.41152263374,56530144.0329218,4.66898969072165,"GA",1,1,1
"176",166,"Georgia",2022,58,4308,0,0,0,0,0,0,2615.83264746228,56244574.7599451,4.66898969072165,"GA",1,1,1
"177",187,"Hawaii",2007,0,16,2,2,2,0,0,3,0,0,4.66898969072165,"HI",0,1,1
"178",189,"Hawaii",2008,0,15,1,2,2,0,0,4,0,0,4.66898969072165,"HI",0,1,1
"179",178,"Hawaii",2009,0,12,0,2,2,0,0,4,0,0,4.66898969072165,"HI",0,1,1
"180",181,"Hawaii",2010,1,17,1,2,2,0,0,2,0,0,4.66898969072165,"HI",0,1,1
"181",186,"Hawaii",2011,1,73,0,2,2,0,0,2,0,0,4.66898969072165,"HI",0,1,1
"182",180,"Hawaii",2012,3,333,1,1,1,0,0,3,0,0,4.66898969072165,"HI",0,1,1
"183",190,"Hawaii",2013,3,370,0,1,1,0,0,3,0,0,4.66898969072165,"HI",0,1,1
"184",184,"Hawaii",2014,3,449,0,1,1,0,0,3,0,0,4.66898969072165,"HI",0,1,1
"185",177,"Hawaii",2015,3,511,0,1,1,0,0,2,0,0,4.66898969072165,"HI",0,1,1
"186",185,"Hawaii",2016,2,587,1,2,2,0,0,1,0,0,4.66898969072165,"HI",0,1,1
"187",179,"Hawaii",2017,2,646,0,1,1,0,0,1,0,0,4.66898969072165,"HI",0,1,1
"188",191,"Hawaii",2018,2,554,0,1,1,0,0,1,0,0,4.66898969072165,"HI",0,1,1
"189",192,"Hawaii",2019,2,680,0,1,1,0,0,1,0,0,4.66898969072165,"HI",0,1,1
"190",183,"Hawaii",2020,2,773,0,1,1,0,0,0,0,0,4.66898969072165,"HI",0,1,1
"191",182,"Hawaii",2021,1,845,0,1,1,0,0,0,0,0,4.66898969072165,"HI",0,1,1
"192",188,"Hawaii",2022,1,955,0,0,0,0,0,0,0,0,4.66898969072165,"HI",1,1,1
"193",202,"Idaho",2007,4,73,3,3,2,1,0,0,40,17850000,4.96,"ID",0,0,0
"194",205,"Idaho",2008,5,44,0,3,2,1,0,0,876,13600000,4.32,"ID",0,0,0
"195",197,"Idaho",2009,5,51,0,3,2,1,0,0,293,14800000,4.23,"ID",0,0,0
"196",195,"Idaho",2010,7,58,0,1,1,0,0,0,1452,20900000,5.27,"ID",0,0,0
"197",201,"Idaho",2011,167,215,0,1,1,0,0,0,1479,22680000,6.96,"ID",0,0,0
"198",196,"Idaho",2012,188,289,0,0,0,0,0,0,1074.66666666667,19460000,4.66898969072165,"ID",1,1,1
"199",203,"Idaho",2013,186,305,0,0,0,0,0,0,1335.22222222222,21013333.3333333,4.66898969072165,"ID",1,1,1
"200",204,"Idaho",2014,8,78,0,0,0,0,0,0,1296.2962962963,21051111.1111111,4.66898969072165,"ID",1,1,1
"201",198,"Idaho",2015,7,131,0,0,0,0,0,0,1235.3950617284,20508148.1481481,4.66898969072165,"ID",1,1,1
"202",193,"Idaho",2016,6,193,0,0,0,0,0,0,1288.97119341564,20857530.8641975,4.66898969072165,"ID",1,1,1
"203",194,"Idaho",2017,5,221,0,0,0,0,0,0,1273.55418381344,20805596.7078189,4.66898969072165,"ID",1,1,1
"204",199,"Idaho",2018,6,223,0,0,0,0,0,0,1265.97347965249,20723758.5733882,4.66898969072165,"ID",1,1,1
"205",200,"Idaho",2019,4,261,0,0,0,0,0,0,1276.16628562719,20795628.7151349,4.66898969072165,"ID",1,1,1
"206",207,"Idaho",2020,5,324,0,0,0,0,0,0,1271.89798303104,20774994.6654473,4.66898969072165,"ID",1,1,1
"207",208,"Idaho",2021,5,385,0,0,0,0,0,0,1271.34591610358,20764793.9846568,4.66898969072165,"ID",1,1,1
"208",206,"Idaho",2022,4,419,0,0,0,0,0,0,1273.13672825394,20778472.4550797,4.66898969072165,"ID",1,1,1
"209",221,"Illinois",2007,159,244,2,3,0,0,3,5,21566,2283750000,4.09,"IL",0,0,0
"210",210,"Illinois",2008,181,262,1,3,0,0,3,6,23988,2130100000,4.01,"IL",0,0,0
"211",217,"Illinois",2009,204,311,2,3,0,0,3,8,30498,2053200000,3.53,"IL",0,0,0
"212",219,"Illinois",2010,219,341,3,3,0,1,2,9,35621,1946800000,5.24,"IL",0,0,0
"213",216,"Illinois",2011,9,74,0,3,0,1,2,7,35493,1938950000,6.25,"IL",0,0,0
"214",214,"Illinois",2012,9,62,0,3,0,1,2,7,35647,1286250000,6.87,"IL",0,0,0
"215",222,"Illinois",2013,9,66,0,3,0,1,2,5,36403,2100400000,4.52,"IL",0,0,0
"216",220,"Illinois",2014,234,1200,1,4,0,1,3,5,37807,2.35e+09,3.71,"IL",0,0,0
"217",211,"Illinois",2015,247,1357,1,5,0,2,3,2,37062,2012500000,3.69,"IL",0,0,0
"218",213,"Illinois",2016,263,1593,0,6,0,3,3,2,41078,2255650000,3.43,"IL",0,0,0
"219",218,"Illinois",2017,270,1691,1,5,0,2,3,2,39548,2200950000,3.41,"IL",0,0,0
"220",223,"Illinois",2018,280,1853,0,1,0,0,1,2,36449,2.268e+09,3.62,"IL",0,0,0
"221",209,"Illinois",2019,279,2306,1,1,0,1,0,1,35260,1846200000,3.55,"IL",0,0,0
"222",215,"Illinois",2020,284,2785,0,0,0,0,0,1,33807,2120100000,4.46,"IL",0,0,0
"223",212,"Illinois",2021,304,3211,0,0,0,0,0,1,34083,2191700000,5.96,"IL",0,0,0
"224",224,"Illinois",2022,293,3842,0,0,0,0,0,0,34383.3333333333,2052666666.66667,4.66898969072165,"IL",1,1,1
"225",232,"Indiana",2007,98,158,4,4,2,1,1,0,6337,980980000,4.39,"IN",0,0,0
"226",227,"Indiana",2008,111,162,1,4,2,1,1,1,13847,873600000,4.1,"IN",0,0,0
"227",237,"Indiana",2009,112,169,2,5,3,1,1,2,16723,933660000,3.66,"IN",0,0,0
"228",236,"Indiana",2010,138,202,1,5,3,1,1,3,22487,898040000,5.38,"IN",0,0,0
"229",229,"Indiana",2011,218,491,0,5,3,1,1,3,23786,839500000,6.31,"IN",0,0,0
"230",234,"Indiana",2012,206,821,0,4,3,0,1,3,20465,596970000,7.23,"IN",0,0,0
"231",233,"Indiana",2013,218,899,1,3,2,0,1,2,21749,1031910000,4.47,"IN",0,0,0
"232",228,"Indiana",2014,188,629,0,3,2,0,1,2,23883,1084760000,3.75,"IN",0,0,0
"233",239,"Indiana",2015,194,720,1,4,2,1,1,1,25175,8.22e+08,3.92,"IN",0,0,0
"234",225,"Indiana",2016,200,821,0,3,1,1,1,1,27001,946310000,3.63,"IN",0,0,0
"235",230,"Indiana",2017,204,833,1,2,0,1,1,1,27471,9.36e+08,3.56,"IN",0,0,0
"236",226,"Indiana",2018,211,801,0,2,0,1,1,0,28312,967680000,3.78,"IN",0,0,0
"237",235,"Indiana",2019,221,938,0,2,0,1,1,0,25137,814580000,3.84,"IN",0,0,0
"238",231,"Indiana",2020,234,1112,0,0,0,0,0,0,26973.3333333333,906086666.666667,4.66898969072165,"IN",1,1,1
"239",240,"Indiana",2021,247,1282,0,0,0,0,0,0,26807.4444444444,896115555.555556,4.66898969072165,"IN",1,1,1
"240",238,"Indiana",2022,240,1411,0,0,0,0,0,0,26305.9259259259,872260740.740741,4.66898969072165,"IN",1,1,1
"241",252,"Iowa",2007,75,112,3,4,0,2,2,4,46548,2376900000,4.29,"IA",0,0,0
"242",255,"Iowa",2008,107,136,3,3,0,2,1,6,56123,2188800000,4.1,"IA",0,0,0
"243",244,"Iowa",2009,124,153,1,3,0,1,2,5,74000,2407300000,3.59,"IA",0,0,0
"244",246,"Iowa",2010,144,173,0,3,0,1,2,5,84071,2153250000,5.23,"IA",0,0,0
"245",245,"Iowa",2011,153,227,0,3,0,1,2,5,89315,2356400000,6.2,"IA",0,0,0
"246",251,"Iowa",2012,157,527,0,1,0,0,1,3,86265,1876900000,6.92,"IA",0,0,0
"247",254,"Iowa",2013,169,554,0,1,0,0,1,0,87238,2140200000,4.49,"IA",0,0,0
"248",248,"Iowa",2014,210,353,1,1,1,0,0,0,89188,2367400000,3.71,"IA",0,0,0
"249",249,"Iowa",2015,214,423,0,1,1,0,0,0,94058,2505600000,3.52,"IA",0,0,0
"250",241,"Iowa",2016,210,480,0,1,1,0,0,0,95983,2740500000,3.3,"IA",0,0,0
"251",253,"Iowa",2017,247,556,1,2,2,0,0,0,100558,2605800000,3.31,"IA",0,0,0
"252",256,"Iowa",2018,267,616,0,2,2,0,0,0,104035,2.499e+09,3.59,"IA",0,0,0
"253",242,"Iowa",2019,300,704,0,2,2,0,0,0,104135,2583900000,3.5,"IA",0,0,0
"254",247,"Iowa",2020,315,855,0,2,2,0,0,0,92137,2283300000,4.64,"IA",0,0,0
"255",250,"Iowa",2021,342,983,0,2,2,0,0,0,97418,2539800000,6.1,"IA",0,0,0
"256",243,"Iowa",2022,346,1320,0,1,1,0,0,0,97896.6666666667,2.469e+09,4.66898969072165,"IA",1,1,1
"257",264,"Kansas",2007,20,73,2,2,2,0,0,0,5530,507840000,4.13,"KS",0,0,0
